,School Name,Day,Month,Date,Time,Year,Hour,Minute,Second,File Name,Full Path
0,Presby Primary Bawijiase,Fri,Feb,17,09:23:50,2017,9,23,50,Presby Primary Bawijiase_Fri_Feb_17_09:23:50_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_17_09:23:50_2017.avi
1,Presby Primary Bawijiase,Fri,Feb,17,09:40:52,2017,9,40,52,Presby Primary Bawijiase_Fri_Feb_17_09:40:52_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_17_09:40:52_2017.avi
2,Presby Primary Bawijiase,Fri,Feb,17,09:41:46,2017,9,41,46,Presby Primary Bawijiase_Fri_Feb_17_09:41:46_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_17_09:41:46_2017.avi
3,Presby Primary Bawijiase,Fri,Feb,24,08:00:54,2017,8,0,54,Presby Primary Bawijiase_Fri_Feb_24_08:00:54_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_08:00:54_2017.avi
4,Presby Primary Bawijiase,Fri,Feb,24,08:37:30,2017,8,37,30,Presby Primary Bawijiase_Fri_Feb_24_08:37:30_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_08:37:30_2017.avi
5,Presby Primary Bawijiase,Fri,Feb,24,08:39:10,2017,8,39,10,Presby Primary Bawijiase_Fri_Feb_24_08:39:10_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_08:39:10_2017.avi
6,Presby Primary Bawijiase,Fri,Feb,24,08:41:10,2017,8,41,10,Presby Primary Bawijiase_Fri_Feb_24_08:41:10_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_08:41:10_2017.avi
7,Presby Primary Bawijiase,Fri,Feb,24,08:52:46,2017,8,52,46,Presby Primary Bawijiase_Fri_Feb_24_08:52:46_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_08:52:46_2017.avi
8,Presby Primary Bawijiase,Fri,Feb,24,08:57:14,2017,8,57,14,Presby Primary Bawijiase_Fri_Feb_24_08:57:14_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_08:57:14_2017.avi
9,Presby Primary Bawijiase,Fri,Feb,24,09:28:14,2017,9,28,14,Presby Primary Bawijiase_Fri_Feb_24_09:28:14_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_09:28:14_2017.avi
10,Presby Primary Bawijiase,Fri,Feb,24,09:29:00,2017,9,29,0,Presby Primary Bawijiase_Fri_Feb_24_09:29:00_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_09:29:00_2017.avi
11,Presby Primary Bawijiase,Fri,Feb,24,09:30:36,2017,9,30,36,Presby Primary Bawijiase_Fri_Feb_24_09:30:36_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_09:30:36_2017.avi
12,Presby Primary Bawijiase,Fri,Feb,24,09:31:20,2017,9,31,20,Presby Primary Bawijiase_Fri_Feb_24_09:31:20_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_09:31:20_2017.avi
13,Presby Primary Bawijiase,Fri,Feb,24,10:14:56,2017,10,14,56,Presby Primary Bawijiase_Fri_Feb_24_10:14:56_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_10:14:56_2017.avi
14,Presby Primary Bawijiase,Fri,Feb,24,10:29:46,2017,10,29,46,Presby Primary Bawijiase_Fri_Feb_24_10:29:46_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_10:29:46_2017.avi
15,Presby Primary Bawijiase,Fri,Feb,24,10:40:08,2017,10,40,8,Presby Primary Bawijiase_Fri_Feb_24_10:40:08_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_10:40:08_2017.avi
16,Presby Primary Bawijiase,Fri,Feb,24,10:43:42,2017,10,43,42,Presby Primary Bawijiase_Fri_Feb_24_10:43:42_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_10:43:42_2017.avi
17,Presby Primary Bawijiase,Fri,Feb,24,10:46:00,2017,10,46,0,Presby Primary Bawijiase_Fri_Feb_24_10:46:00_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_10:46:00_2017.avi
18,Presby Primary Bawijiase,Fri,Feb,24,12:05:02,2017,12,5,2,Presby Primary Bawijiase_Fri_Feb_24_12:05:02_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_12:05:02_2017.avi
19,Presby Primary Bawijiase,Fri,Feb,24,12:05:48,2017,12,5,48,Presby Primary Bawijiase_Fri_Feb_24_12:05:48_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_12:05:48_2017.avi
20,Presby Primary Bawijiase,Fri,Feb,24,12:07:16,2017,12,7,16,Presby Primary Bawijiase_Fri_Feb_24_12:07:16_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_12:07:16_2017.avi
21,Presby Primary Bawijiase,Fri,Feb,24,12:08:30,2017,12,8,30,Presby Primary Bawijiase_Fri_Feb_24_12:08:30_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_12:08:30_2017.avi
22,Presby Primary Bawijiase,Fri,Feb,24,12:15:28,2017,12,15,28,Presby Primary Bawijiase_Fri_Feb_24_12:15:28_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_12:15:28_2017.avi
23,Presby Primary Bawijiase,Fri,Feb,24,12:28:50,2017,12,28,50,Presby Primary Bawijiase_Fri_Feb_24_12:28:50_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_12:28:50_2017.avi
24,Presby Primary Bawijiase,Fri,Feb,24,12:33:48,2017,12,33,48,Presby Primary Bawijiase_Fri_Feb_24_12:33:48_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_12:33:48_2017.avi
25,Presby Primary Bawijiase,Fri,Feb,24,12:35:10,2017,12,35,10,Presby Primary Bawijiase_Fri_Feb_24_12:35:10_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_12:35:10_2017.avi
26,Presby Primary Bawijiase,Fri,Feb,24,13:00:42,2017,13,0,42,Presby Primary Bawijiase_Fri_Feb_24_13:00:42_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_13:00:42_2017.avi
27,Presby Primary Bawijiase,Fri,Feb,24,13:02:48,2017,13,2,48,Presby Primary Bawijiase_Fri_Feb_24_13:02:48_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_13:02:48_2017.avi
28,Presby Primary Bawijiase,Fri,Feb,24,13:03:24,2017,13,3,24,Presby Primary Bawijiase_Fri_Feb_24_13:03:24_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Feb_24_13:03:24_2017.avi
29,Presby Primary Bawijiase,Fri,Mar,10,07:43:56,2017,7,43,56,Presby Primary Bawijiase_Fri_Mar_10_07:43:56_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_10_07:43:56_2017.avi
30,Presby Primary Bawijiase,Fri,Mar,10,08:05:36,2017,8,5,36,Presby Primary Bawijiase_Fri_Mar_10_08:05:36_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_10_08:05:36_2017.avi
31,Presby Primary Bawijiase,Fri,Mar,10,09:34:20,2017,9,34,20,Presby Primary Bawijiase_Fri_Mar_10_09:34:20_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_10_09:34:20_2017.avi
32,Presby Primary Bawijiase,Fri,Mar,10,12:32:02,2017,12,32,2,Presby Primary Bawijiase_Fri_Mar_10_12:32:02_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_10_12:32:02_2017.avi
33,Presby Primary Bawijiase,Fri,Mar,10,12:32:40,2017,12,32,40,Presby Primary Bawijiase_Fri_Mar_10_12:32:40_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_10_12:32:40_2017.avi
34,Presby Primary Bawijiase,Fri,Mar,10,12:58:56,2017,12,58,56,Presby Primary Bawijiase_Fri_Mar_10_12:58:56_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_10_12:58:56_2017.avi
35,Presby Primary Bawijiase,Fri,Mar,10,13:00:46,2017,13,0,46,Presby Primary Bawijiase_Fri_Mar_10_13:00:46_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_10_13:00:46_2017.avi
36,Presby Primary Bawijiase,Fri,Mar,10,13:18:12,2017,13,18,12,Presby Primary Bawijiase_Fri_Mar_10_13:18:12_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_10_13:18:12_2017.avi
37,Presby Primary Bawijiase,Fri,Mar,10,13:19:20,2017,13,19,20,Presby Primary Bawijiase_Fri_Mar_10_13:19:20_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_10_13:19:20_2017.avi
38,Presby Primary Bawijiase,Fri,Mar,10,13:24:14,2017,13,24,14,Presby Primary Bawijiase_Fri_Mar_10_13:24:14_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_10_13:24:14_2017.avi
39,Presby Primary Bawijiase,Fri,Mar,10,13:33:20,2017,13,33,20,Presby Primary Bawijiase_Fri_Mar_10_13:33:20_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_10_13:33:20_2017.avi
40,Presby Primary Bawijiase,Fri,Mar,10,13:33:54,2017,13,33,54,Presby Primary Bawijiase_Fri_Mar_10_13:33:54_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_10_13:33:54_2017.avi
41,Presby Primary Bawijiase,Fri,Mar,10,13:34:26,2017,13,34,26,Presby Primary Bawijiase_Fri_Mar_10_13:34:26_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_10_13:34:26_2017.avi
42,Presby Primary Bawijiase,Fri,Mar,17,08:38:36,2017,8,38,36,Presby Primary Bawijiase_Fri_Mar_17_08:38:36_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_17_08:38:36_2017.avi
43,Presby Primary Bawijiase,Fri,Mar,17,09:43:52,2017,9,43,52,Presby Primary Bawijiase_Fri_Mar_17_09:43:52_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_17_09:43:52_2017.avi
44,Presby Primary Bawijiase,Fri,Mar,17,09:48:18,2017,9,48,18,Presby Primary Bawijiase_Fri_Mar_17_09:48:18_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_17_09:48:18_2017.avi
45,Presby Primary Bawijiase,Fri,Mar,17,09:56:44,2017,9,56,44,Presby Primary Bawijiase_Fri_Mar_17_09:56:44_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_17_09:56:44_2017.avi
46,Presby Primary Bawijiase,Fri,Mar,17,10:08:08,2017,10,8,8,Presby Primary Bawijiase_Fri_Mar_17_10:08:08_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_17_10:08:08_2017.avi
47,Presby Primary Bawijiase,Fri,Mar,17,10:10:28,2017,10,10,28,Presby Primary Bawijiase_Fri_Mar_17_10:10:28_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_17_10:10:28_2017.avi
48,Presby Primary Bawijiase,Fri,Mar,17,10:11:28,2017,10,11,28,Presby Primary Bawijiase_Fri_Mar_17_10:11:28_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_17_10:11:28_2017.avi
49,Presby Primary Bawijiase,Fri,Mar,17,10:13:02,2017,10,13,2,Presby Primary Bawijiase_Fri_Mar_17_10:13:02_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_17_10:13:02_2017.avi
50,Presby Primary Bawijiase,Fri,Mar,17,10:18:02,2017,10,18,2,Presby Primary Bawijiase_Fri_Mar_17_10:18:02_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_17_10:18:02_2017.avi
51,Presby Primary Bawijiase,Fri,Mar,17,10:39:16,2017,10,39,16,Presby Primary Bawijiase_Fri_Mar_17_10:39:16_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_17_10:39:16_2017.avi
52,Presby Primary Bawijiase,Fri,Mar,17,10:49:10,2017,10,49,10,Presby Primary Bawijiase_Fri_Mar_17_10:49:10_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_17_10:49:10_2017.avi
53,Presby Primary Bawijiase,Fri,Mar,17,11:14:32,2017,11,14,32,Presby Primary Bawijiase_Fri_Mar_17_11:14:32_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_17_11:14:32_2017.avi
54,Presby Primary Bawijiase,Fri,Mar,24,10:32:16,2017,10,32,16,Presby Primary Bawijiase_Fri_Mar_24_10:32:16_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_10:32:16_2017.avi
55,Presby Primary Bawijiase,Fri,Mar,24,10:34:14,2017,10,34,14,Presby Primary Bawijiase_Fri_Mar_24_10:34:14_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_10:34:14_2017.avi
56,Presby Primary Bawijiase,Fri,Mar,24,10:39:58,2017,10,39,58,Presby Primary Bawijiase_Fri_Mar_24_10:39:58_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_10:39:58_2017.avi
57,Presby Primary Bawijiase,Fri,Mar,24,10:43:06,2017,10,43,6,Presby Primary Bawijiase_Fri_Mar_24_10:43:06_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_10:43:06_2017.avi
58,Presby Primary Bawijiase,Fri,Mar,24,11:05:32,2017,11,5,32,Presby Primary Bawijiase_Fri_Mar_24_11:05:32_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_11:05:32_2017.avi
59,Presby Primary Bawijiase,Fri,Mar,24,11:10:16,2017,11,10,16,Presby Primary Bawijiase_Fri_Mar_24_11:10:16_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_11:10:16_2017.avi
60,Presby Primary Bawijiase,Fri,Mar,24,11:11:40,2017,11,11,40,Presby Primary Bawijiase_Fri_Mar_24_11:11:40_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_11:11:40_2017.avi
61,Presby Primary Bawijiase,Fri,Mar,24,11:38:28,2017,11,38,28,Presby Primary Bawijiase_Fri_Mar_24_11:38:28_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_11:38:28_2017.avi
62,Presby Primary Bawijiase,Fri,Mar,24,11:39:12,2017,11,39,12,Presby Primary Bawijiase_Fri_Mar_24_11:39:12_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_11:39:12_2017.avi
63,Presby Primary Bawijiase,Fri,Mar,24,11:41:54,2017,11,41,54,Presby Primary Bawijiase_Fri_Mar_24_11:41:54_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_11:41:54_2017.avi
64,Presby Primary Bawijiase,Fri,Mar,24,11:45:46,2017,11,45,46,Presby Primary Bawijiase_Fri_Mar_24_11:45:46_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_11:45:46_2017.avi
65,Presby Primary Bawijiase,Fri,Mar,24,11:46:54,2017,11,46,54,Presby Primary Bawijiase_Fri_Mar_24_11:46:54_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_11:46:54_2017.avi
66,Presby Primary Bawijiase,Fri,Mar,24,11:54:56,2017,11,54,56,Presby Primary Bawijiase_Fri_Mar_24_11:54:56_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_11:54:56_2017.avi
67,Presby Primary Bawijiase,Fri,Mar,24,11:57:52,2017,11,57,52,Presby Primary Bawijiase_Fri_Mar_24_11:57:52_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_11:57:52_2017.avi
68,Presby Primary Bawijiase,Fri,Mar,24,12:01:08,2017,12,1,8,Presby Primary Bawijiase_Fri_Mar_24_12:01:08_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_12:01:08_2017.avi
69,Presby Primary Bawijiase,Fri,Mar,24,12:06:54,2017,12,6,54,Presby Primary Bawijiase_Fri_Mar_24_12:06:54_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_12:06:54_2017.avi
70,Presby Primary Bawijiase,Fri,Mar,24,12:08:30,2017,12,8,30,Presby Primary Bawijiase_Fri_Mar_24_12:08:30_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_12:08:30_2017.avi
71,Presby Primary Bawijiase,Fri,Mar,24,12:11:32,2017,12,11,32,Presby Primary Bawijiase_Fri_Mar_24_12:11:32_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_12:11:32_2017.avi
72,Presby Primary Bawijiase,Fri,Mar,24,12:12:18,2017,12,12,18,Presby Primary Bawijiase_Fri_Mar_24_12:12:18_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_12:12:18_2017.avi
73,Presby Primary Bawijiase,Fri,Mar,24,12:28:54,2017,12,28,54,Presby Primary Bawijiase_Fri_Mar_24_12:28:54_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_12:28:54_2017.avi
74,Presby Primary Bawijiase,Fri,Mar,24,12:31:30,2017,12,31,30,Presby Primary Bawijiase_Fri_Mar_24_12:31:30_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_12:31:30_2017.avi
75,Presby Primary Bawijiase,Fri,Mar,24,12:41:44,2017,12,41,44,Presby Primary Bawijiase_Fri_Mar_24_12:41:44_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_12:41:44_2017.avi
76,Presby Primary Bawijiase,Fri,Mar,24,12:51:22,2017,12,51,22,Presby Primary Bawijiase_Fri_Mar_24_12:51:22_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_12:51:22_2017.avi
77,Presby Primary Bawijiase,Fri,Mar,24,12:51:56,2017,12,51,56,Presby Primary Bawijiase_Fri_Mar_24_12:51:56_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_12:51:56_2017.avi
78,Presby Primary Bawijiase,Fri,Mar,24,12:52:46,2017,12,52,46,Presby Primary Bawijiase_Fri_Mar_24_12:52:46_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_12:52:46_2017.avi
79,Presby Primary Bawijiase,Fri,Mar,24,13:15:24,2017,13,15,24,Presby Primary Bawijiase_Fri_Mar_24_13:15:24_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_13:15:24_2017.avi
80,Presby Primary Bawijiase,Fri,Mar,24,13:23:32,2017,13,23,32,Presby Primary Bawijiase_Fri_Mar_24_13:23:32_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_13:23:32_2017.avi
81,Presby Primary Bawijiase,Fri,Mar,24,13:27:14,2017,13,27,14,Presby Primary Bawijiase_Fri_Mar_24_13:27:14_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_13:27:14_2017.avi
82,Presby Primary Bawijiase,Fri,Mar,24,13:27:48,2017,13,27,48,Presby Primary Bawijiase_Fri_Mar_24_13:27:48_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_13:27:48_2017.avi
83,Presby Primary Bawijiase,Fri,Mar,24,13:29:16,2017,13,29,16,Presby Primary Bawijiase_Fri_Mar_24_13:29:16_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_13:29:16_2017.avi
84,Presby Primary Bawijiase,Fri,Mar,24,13:31:46,2017,13,31,46,Presby Primary Bawijiase_Fri_Mar_24_13:31:46_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_13:31:46_2017.avi
85,Presby Primary Bawijiase,Fri,Mar,24,13:33:34,2017,13,33,34,Presby Primary Bawijiase_Fri_Mar_24_13:33:34_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_24_13:33:34_2017.avi
86,Presby Primary Bawijiase,Fri,Mar,31,08:07:24,2017,8,7,24,Presby Primary Bawijiase_Fri_Mar_31_08:07:24_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_31_08:07:24_2017.avi
87,Presby Primary Bawijiase,Fri,Mar,31,08:17:36,2017,8,17,36,Presby Primary Bawijiase_Fri_Mar_31_08:17:36_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_31_08:17:36_2017.avi
88,Presby Primary Bawijiase,Fri,Mar,31,08:43:22,2017,8,43,22,Presby Primary Bawijiase_Fri_Mar_31_08:43:22_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_31_08:43:22_2017.avi
89,Presby Primary Bawijiase,Fri,Mar,31,09:01:48,2017,9,1,48,Presby Primary Bawijiase_Fri_Mar_31_09:01:48_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_31_09:01:48_2017.avi
90,Presby Primary Bawijiase,Fri,Mar,31,09:02:46,2017,9,2,46,Presby Primary Bawijiase_Fri_Mar_31_09:02:46_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_31_09:02:46_2017.avi
91,Presby Primary Bawijiase,Fri,Mar,3,09:57:28,2017,9,57,28,Presby Primary Bawijiase_Fri_Mar_3_09:57:28_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_3_09:57:28_2017.avi
92,Presby Primary Bawijiase,Fri,Mar,3,10:36:54,2017,10,36,54,Presby Primary Bawijiase_Fri_Mar_3_10:36:54_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_3_10:36:54_2017.avi
93,Presby Primary Bawijiase,Fri,Mar,3,10:38:38,2017,10,38,38,Presby Primary Bawijiase_Fri_Mar_3_10:38:38_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_3_10:38:38_2017.avi
94,Presby Primary Bawijiase,Fri,Mar,3,10:48:30,2017,10,48,30,Presby Primary Bawijiase_Fri_Mar_3_10:48:30_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_3_10:48:30_2017.avi
95,Presby Primary Bawijiase,Fri,Mar,3,10:50:54,2017,10,50,54,Presby Primary Bawijiase_Fri_Mar_3_10:50:54_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_3_10:50:54_2017.avi
96,Presby Primary Bawijiase,Fri,Mar,3,10:52:20,2017,10,52,20,Presby Primary Bawijiase_Fri_Mar_3_10:52:20_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_3_10:52:20_2017.avi
97,Presby Primary Bawijiase,Fri,Mar,3,11:07:16,2017,11,7,16,Presby Primary Bawijiase_Fri_Mar_3_11:07:16_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_3_11:07:16_2017.avi
98,Presby Primary Bawijiase,Fri,Mar,3,11:07:52,2017,11,7,52,Presby Primary Bawijiase_Fri_Mar_3_11:07:52_2017.avi,/Volumes/Seagate/MY_COPY/Presby Primary Bawijiase/Presby Primary Bawijiase_Fri_Mar_3_11:07:52_2017.avi
